Name,Orig Name,Manu.,Year,Machine Settings,Tech Notes,Concerns,Lock Stealing,Group,
2001 / Dimension,2001,Gottlieb,1971,,"Ensure flippers are strong enough to get the ball all the way to the saucers at the top of the machine, and the side kickers are strong enough to push the ball back into the drops and bumpers. Tilt should generally be loose, since 2001 is a “tilt ends game” machine.","The ball count is only visible to the player in a small window in the lower left. Be careful that the ball-advance stepper is working 100%, or players may exploit and play a longer game than is allowed. There is no way to earn an extra ball in 2001.",No,G48nw,1
AC/DC,AC/DC,Stern,2012,,Manage difficulty through outlane posts and slingshot sensitivity. The flipper rubbers on the lower playfield have a tendency to come off or wear out with extended play. Be sure to label the wires or make a mental note as to which wire plugs onto which connector since they appear very similar when reassembling the unit.,AC/DC tends to be a longer playing game in a competitive environment.,No,G43W4,1
The Addams Family,Addams Family,Bally,1992,,"The difficulty of Addams Family is primarily determined by the consistency of the chair and swamp kickouts, the style of posts guarding the electric chair, and whether or not the right ramp is makeable from either flipper. Players should be capable of dead-bouncing the electric chair kickout from the left flipper to the right, and the swamp kickout from the right flipper to the left. While both of these feeds should always be physically possible, whether or not these feeds are actually controllable in this manner is up to the tournament director to decide. Be sure to check ALL of the switches in front of the bookcase in switch test.","Thing Flips will need to be dialed in after any moving or leveling of the game. The locking mechanism can prevent players from earning skillshots in multiplayer games, which can create a competitive imbalance between the players involved. Players frequently “time out” the Power magnets in competitive play, causing severe slowdowns; consider disabling these magnets while informing the players of the change.",No,G4ODR,1
Air Aces,Air Aces,Bally,1974,,"Leave extra balls on, they are difficult to achieve and skill-based. Disabling the extra ball requires disabling a specific relay in the machine.",,No,G420v,1
Ali,Ali,Stern,1980,,"Ali is typically a fast-playing game without any major adjustments necessary. If the multipliers reset at the beginning of each ball, the game becomes fairly one dimensional. If the multipliers are set to carry over between balls, the players are generally forced to play more of the playfield and make more strategic decisions later in the game.",,No,G43kO,1
Alien Poker,Alien Poker,Williams,1980,,Alien Poker will be a short to average playing game timewise. PAPA recommends removing the metal bar between the lower right flippers unless it is a casual event. Adjusting outlanes and slingshot sensitivity is enough for the vast majority of events.,,No,G4yen,1
Amazing Spider-Man,Amazing Spider-Man,Gottlieb,1980,,Consider installing one-way switches on the inlanes to help prevent players from repeatedly shooting the inlanes.,Maxing the bonus by repeatedly shooting the inlane can be dull to watch.,No,GrXlr,1
Apollo 13,Apollo 13,Sega,1995,,,Not a reasonable competition game due to carry-over of thirteen ball countdown feature.,Yes,G411e,1
Attack From Mars,Attack From Mars,Bally,1995,,Rom revision 1.13b offers a variety of awards for competitive play at the scoop as opposed to only 50m points.,"Be certain the left flipper can successfully complete the right ramp from a cradle and the right flipper can successfully complete the lock ramp from a cradle. If the flippers are not readily strong enough, they will need to be rebuilt. Also be sure players are capable or loop-passing when shooting the orbits. If the flipper rubbers have become worn, or deadened, to the point this technique isn’t possible, they will need to be replaced prior to competition.",No,G4do5,1
Austin Powers,Austin Powers,Stern,2001,,"Flippers from this era of pinball machines can become weak with extended play. Ensure the flipper mechanisms are moving freely, and upgrade the coils if possible.",It's Shag-a-delic!,No,G43BW,1
Avatar,Avatar,Stern,2010,,"Aside from standard slingshot and outlane adjustments, the only adjustment typically made is to add fatter posts to the link entrance, making the shot more difficult.","By using this tournament, you will be forced to remember how big of a disappointment this movie was.",No,GrZBr,1
The Avengers,Avengers,Stern,2012,,"When played at a higher skill level, Avengers degenerates into a one-shot game. Players will typically shoot the left orbit, LOKI, ad nauseam. Balls will frequently become stuck during multiball in a variety of places, most commonly around the Hulk figurine. In addition to the left orbit / ramp imbalance, a number of software issues also cause Avengers to be a poor competition choice for higher-skilled divisions.",Care should be taken to avoid bounceouts from the lock that put a second ball into play when it shouldn’t be there.,No,GRzNR,1
Back to the Future,Back to the Future,Data East,1990,,,"Skill shot awards include “Double Your Score” and “Steal His Score”. If played, ideally this game should be single-player only.",No,GRpbW,1
Bad Cats,Bad Cats,Williams,1989,,,Features easily repeatable strategies that can be exploited by higher caliber players.,No,GrEBz,1
Banzai Run,Banzai Run,Williams,1988,,"Be sure all of the flippers are in solid, working order prior to the competition. In addition to checking all switches, take special care to ensure all captive balls and standups, including within the backbox, register correctly.",Consider reducing the timer on the upper playfield post.,No,GR9lZ,1
Barb Wire,Barb Wire,Gottlieb,1996,,,Are you really about to do this?,Does anyone really care?,GRwyv,1
