FileSize,FileName,Manu,Year,File,Type,,OPDB_ID,NameCount
"14,130",williams-1970-4aces.docx,williams,1970,4aces,docx,4 Aces,GrqK8,1
"14,675",stern-2012-acdc.docx,stern,2012,AC/DC,docx,AC/DC,G43W4,1
"14,074",dataeast-1993-rockybullwinkle.docx,dataeast,1993,AdventuresofRockyandBullwinkleandFriends,docx,Adventures of Rocky and Bullwinkle and Friends,G5vnL,1
"16,783",stern-2017-aerosmith.docx,stern,2017,aerosmith,docx,Aerosmith,Gr16e,1
"97,006",atari-1977-airborneavengers.docx,atari,1977,airborneavenger,docx,Airborne Avenger,G4dZZ,1
"16,210",chicago-2017-attackfrommarsremake.docx,chicago,2017,AttackfromMars,docx,Attack from Mars,G4do5_remake,1
"16,541",bmw-1995-attackfrommars.docx,bmw,1995,attackfrommars,docx,Attack from Mars,G4do5,1
"14,389",dataeast-1990-backtothefuture.docx,dataeast,1990,backtothefuture,docx,Back to the Future,GRpbW,1
"17,442",stern-2016-batman66.docx,stern,2016,batman66,docx,Batman 66,GRoz4,1
"17,172",stern-2018-beatles.docx,stern,2018,beatles,docx,Beatles,G0l8P,1
"768,276",stern-1980-biggame.docx,stern,1980,biggame,docx,Big Game,G4jQw,1
"17,204",stern-2019-blackknight.docx,stern,2019,blackknight,docx,Black Knight,GrO7w,1
"121,442",williams-1980-blackout.docx,williams,1980,blackout,docx,Blackout,GRwYo,1
"14,148",bmw-1992-blackrose.docx,bmw,1992,blackrose,docx,Black Rose,G5vZd,1
"110,684",bally-1977-powerplay.docx,bally,1977,BobbyOrr'sPowerPlay,docx,Bobby Orr's Power Play,G4en0,1
"13,948",premier-1985-bountyhunter.docx,premier,1985,bountyhunter,docx,Bounty Hunter,G5nO8,1
"14,222",bmw-1993-bramstokersdracula.docx,bmw,1993,BramStoker'sDracula,docx,Bram Stoker's Dracula,G41do,1
"13,981",bmw-1998-cactuscanyon.docx,bmw,1998,cactuscanyon,docx,Cactus Canyon,G4835,1
"193,605",bally-1975-captainfantastic.docx,bally,1975,CaptainFantasticandtheBrownDirtCowboy,docx,Captain Fantastic and the Brown Dirt Cowboy,GRveZ,1
"120,736",bally-1980-centaur.docx,bally,1980,centaur,docx,Centaur,GrX7q,1
"492,189",sonic-1978-cherrybell.docx,sonic,1978,cherrybell,docx,Cherry Bell,GRKWZ,1
"14,043",bmw-1995-congo.docx,bmw,1995,congo,docx,Congo,GrNd0,1
"13,999",bmw-1994-corvette.docx,bmw,1994,corvette,docx,Corvette,GrjDz,1
"181,718",gottlieb-1979-countdown.docx,gottlieb,1979,Count-Down/SpaceWalk,docx,Count-Down / Space Walk,G56zB,1
"181,657",gottlieb-1980-counterforce.docx,gottlieb,1980,counterforce,docx,Counterforce,GRYPN,1
"16,420",bmw-1992-cftbl.docx,bmw,1992,CreaturefromtheBlackLagoon,docx,Creature from the Black Lagoon,GrNWn,1
"128,547",bmw-1985-cybernaut.docx,bmw,1985,cybernaut,docx,Cybernaut,GR69j,1
"17,418",stern-2018-deadpool.docx,stern,2018,deadpool,docx,Deadpool,G6lnq,1
"16,417",bmw-1994-demoman.docx,bmw,1994,DemolitionMan,docx,Demolition Man,G5bv3,1
"181,754",gottlieb-1982-devilsdare.docx,gottlieb,1982,devil'sdare,docx,Devil's Dare,GrNkY,1
"16,999",jerseyjack-2017-dialedin.docx,jerseyjack,2017,DialedIn!,docx,Dialed In!,G4X2l,1
"16,715",bmw-1995-dirtyharry.docx,bmw,1995,dirtyharry,docx,Dirty Harry,GrJ2Z,1
"14,273",bmw-1992-doctorwho.docx,bmw,1992,doctorwho,docx,Doctor Who,G4x2Y,1
"13,717",gottlieb-1971-dropacard.docx,gottlieb,1971,Dreamy,docx,Dreamy,GV8Kw,1
"1,046,004",bally-1977-eightball.docx,bally,1977,eightball,docx,Eight Ball,GrN7J,1
"814,032",bally-1980-eightballdeluxed.docx,bally,1980,eightballdeluxe,docx,Eight Ball Deluxe,G5KXk,1
